title,description,code,coupon_type,discount_type,discount_value,store,store_url,category,start_date,expiry_date,original_price,sale_price,affiliate_link,image,terms_conditions,is_featured,is_verified,is_exclusive,status
Deconstruct Flat 25% OFF Sitewide - Code FLAT25,"Official Deconstruct Big Skincare Fest: flat 25% off sitewide with code FLAT25. Gel sunscreens, vitamin C serums and moisturisers included.",FLAT25,code,percentage,25,Deconstruct,https://thedeconstruct.in,Beauty & Health,2026-09-05,2026-10-05,,,https://thedeconstruct.in/collections/big-skincare-fest,https://thedeconstruct.in/cdn/shop/files/Untitled-1GS_50G.webp?v=1780469745&width=1100,As bannered on official Deconstruct Big Skincare Fest collection. Limited period fest pricing.,1,1,0,1
Deconstruct Buy 1 Get 1 Free on Sunscreens - Auto Applied,"Official Deconstruct B1G1: buy 1 get 1 free on selected sunscreens. Add 2 eligible sunscreens; lower-priced one is free, auto-applied at checkout, no code needed.",,deal,freebie,0,Deconstruct,https://thedeconstruct.in,Beauty & Health,2026-09-05,2026-10-05,,,https://thedeconstruct.in/pages/b1g1-onsunscreen,https://thedeconstruct.in/cdn/shop/files/Untitled-1GS_50G.webp?v=1780469745&width=1100,Selected sunscreens only; kits/combos excluded. Cannot be clubbed with other promotions or reward points per official T&C.,1,1,0,1
Deconstruct Buy 2 Get 1 Free on Serums - Code B2G1,"Official Deconstruct serum offer: buy 2 get 1 free on vitamin C, niacinamide, retinol and hyaluronic serums with code B2G1.",B2G1,code,freebie,0,Deconstruct,https://thedeconstruct.in,Beauty & Health,2026-09-05,2026-10-05,,,https://thedeconstruct.in/collections/serums-dc999,,Serums collection only. As listed on official Deconstruct serums page.,1,1,0,1
Dot & Key Flat 25% OFF on Combos - Code COMBO25,Official Dot & Key offer: flat 25% off all combo regime packs with code COMBO25. Verified live on dotandkey.com offers page.,COMBO25,code,percentage,25,Dot & Key,https://www.dotandkey.com,Beauty & Health,2026-09-05,2026-10-05,,,https://www.dotandkey.com/collections/combo-regimes,https://www.dotandkey.com/cdn/shop/files/image_722_a1723890-c0c5-448c-8596-2c1a83fa8230.png?format=webp&quality=80&v=1771587280&width=1440,Valid on combo packs only on dotandkey.com. Does not stack with other codes. Check offers page for validity.,1,1,0,1
Dot & Key Up To 20% OFF Sitewide Sale,"Dot & Key sitewide sale live now: up to 20% off sunscreens, moisturisers, serums and lip care on dotandkey.com. No code needed.",,deal,percentage,20,Dot & Key,https://www.dotandkey.com,Beauty & Health,2026-09-05,2026-10-05,,,https://www.dotandkey.com/pages/offers,https://www.dotandkey.com/cdn/shop/files/image_722_a1723890-c0c5-448c-8596-2c1a83fa8230.png?format=webp&quality=80&v=1771587280&width=1440,As shown on official Dot & Key offers page. Limited period sale.,1,1,0,1
Dot & Key Buy Any 2 Products @ Rs.699,Official Dot & Key bundle tier: mix and match any 2 products for Rs.699. Auto-applied.,,deal,flat,0,Dot & Key,https://www.dotandkey.com,Beauty & Health,2026-09-05,2026-10-05,,,https://www.dotandkey.com/pages/offers,,As listed on official Dot & Key offers page. Limited period.,1,1,0,1
Dot & Key Buy Any 4 @ Rs.1295 + 2 Free Gifts,Official Dot & Key best-value tier: any 4 products for Rs.1295 plus 2 free gifts. Best for full routines.,,deal,flat,0,Dot & Key,https://www.dotandkey.com,Beauty & Health,2026-09-05,2026-10-05,,,https://www.dotandkey.com/pages/offers,,As listed on official Dot & Key offers page.,1,1,0,1
Foxtale Extra 15% OFF Sitewide - Use Code GLOW15,Official Foxtale Rewards loyalty offer: extra 15% off on all products with code GLOW15 at checkout on foxtale.in. Earn 5 Fox Charms per Rs.100 spent on every order.,GLOW15,code,percentage,15,Foxtale,https://foxtale.in,Beauty & Health,2026-09-05,2026-10-05,,,https://foxtale.in/pages/rewards-and-referral,,As listed on Foxtale official Rewards & Referral page. Cannot be combined with other coupon codes. Verify at checkout.,1,1,0,1
Foxtale Buy Any 2 Products @ Rs.699 - Code FOX699,"Official Foxtale bundle deal: buy any 2 products for Rs.699. Apply code FOX699 at checkout. Serums, moisturisers, sunscreens and cleansers eligible.",FOX699,code,flat,0,Foxtale,https://foxtale.in,Beauty & Health,2026-09-05,2026-10-05,,,https://foxtale.in/,,As listed in Foxtale official Offers section. Check foxtale.in for eligible products. Cannot be combined with other codes.,1,1,0,1
Foxtale Flat 15% OFF + 10% FoxCoins Cashback - Code GLOW20,Official Foxtale product-page offer: flat 15% off with code GLOW20 plus flat 10% cashback via FoxCoins wallet.,GLOW20,code,percentage,15,Foxtale,https://foxtale.in,Beauty & Health,2026-09-05,2026-10-05,,,https://foxtale.in/,,As shown on official Foxtale product pages. FoxCoins credited per wallet rules.,1,1,0,1
Foxtale Buy 2 Get 2 Free + 2 Free Gifts - Auto Deal,"Official Foxtale bundle: add 4 products, 2 cheapest go free, plus 2 free gifts on qualifying carts. Activates automatically in cart.",,deal,freebie,0,Foxtale,https://foxtale.in,Beauty & Health,2026-09-05,2026-10-05,,,https://foxtale.in/collections/all-combos,,"Mix serums, sunscreens, cleansers. Bundle orders not returnable per policy. See foxtale.in.",1,1,0,1
Hyphen Flat 10% OFF + 5% Prepaid - Code HYP15,Official Hyphen site offer shown on product pages: flat 10% off with code HYP15 plus extra 5% off on prepaid orders at letshyphen.com.,HYP15,code,percentage,10,Hyphen,https://letshyphen.com,Beauty & Health,2026-09-05,2026-10-05,,,https://letshyphen.com/collections/b2g1,https://letshyphen.com/cdn/shop/files/Card1_2_d7977876-0aec-447a-842a-1edda62fb20e.jpg?v=1777290798&width=533,Not applicable on combos and gifts. Prepaid bonus on UPI/card. As shown on official Hyphen product pages.,1,1,0,1
